cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,10
atmosphere,aesthetic_qualities,dreamy,2
atmosphere,aesthetic_qualities,gritty,1
atmosphere,aesthetic_qualities,realistic,9
atmosphere,aesthetic_qualities,unknown,2
atmosphere,color_temperature,cool,6
atmosphere,color_temperature,neutral,1
atmosphere,color_temperature,warm,3
atmosphere,contrast_level,high,7
atmosphere,contrast_level,medium,3
atmosphere,dominant_palette,black,4
atmosphere,dominant_palette,brown,10
atmosphere,dominant_palette,cyan,2
atmosphere,dominant_palette,medium blue,1
atmosphere,dominant_palette,medium violet red,1
atmosphere,dominant_palette,mediumblue,1
atmosphere,dominant_palette,mediumvioletred,1
atmosphere,mood,dramatic,6
atmosphere,mood,tense,4
atmosphere,mood,unknown,3
atmosphere,saturation_level,neutral,6
atmosphere,saturation_level,vivid,4
background,object_counts_by_position,background center,9
background,object_counts_by_position,background left,5
background,object_counts_by_position,foreground center,14
background,object_counts_by_position,foreground left,5
background,object_counts_by_position,foreground right,5
background,object_counts_by_position,midground center,9
background,object_counts_by_position,midground left,3
background,object_counts_by_position,midground right,2
background,object_counts_by_position,unknown,1
camera,angle,unknown,10
camera,depth_of_field,shallow,20
camera,focal_length,normal,1
camera,focal_length,telephoto,2
camera,focal_length,unknown,6
camera,focal_length,wide,1
camera,framing,close up,6
camera,framing,full body,1
camera,framing,headshot,1
camera,framing,medium,6
camera,framing,unknown,2
camera,perspective,eye level,6
camera,perspective,low angle,10
camera,perspective,unknown,4
environment,aisle_width,unknown,10
environment,indoor_outdoor,unknown,10
environment,location_type,athletic stadium interior,1
environment,location_type,athletics competition area,1
environment,location_type,gym,2
environment,location_type,outdoor athletics facility,1
environment,location_type,outdoor sports facility,1
environment,location_type,sports stadium,1
environment,location_type,stadium,3
environment,openness,enclosed,1
environment,openness,open,8
environment,openness,unknown,1
environment,spatial_layout_depth,deep,5
environment,spatial_layout_depth,moderate,1
environment,spatial_layout_depth,shallow,4
environment,time_of_day_hint,unknown,10
environment,weather,overcast,1
environment,weather,sunny,1
environment,weather,unknown,8
lighting,artifacts,bloom,1
lighting,artifacts,bokeh,2
lighting,artifacts,glare,1
lighting,artifacts,glare around floodlights,1
lighting,artifacts,halation,1
lighting,artifacts,lens bloom,1
lighting,artifacts,mild window reflection,1
lighting,artifacts,motion blur,2
lighting,artifacts,particle spray,1
lighting,artifacts,small red lens flare lower right foreground,1
lighting,artifacts,specular highlights,2
lighting,artifacts,specular sheen skin,1
lighting,color_temperature,cool,12
lighting,color_temperature,neutral,2
lighting,color_temperature,warm,6
lighting,contrast_level,high,7
lighting,contrast_level,medium,3
lighting,directionality,backlight,3
lighting,directionality,top light,4
lighting,directionality,unknown,8
lighting,hardness,hard light,2
lighting,hardness,medium,4
lighting,hardness,soft light,4
lighting,saturation_level,neutral,6
lighting,saturation_level,vivid,4
lighting,shadows,casting,2
lighting,shadows,hard,2
lighting,shadows,medium,2
lighting,shadows,soft,5
lighting,sources_count,four or more,4
lighting,sources_count,one source,4
lighting,sources_count,two,1
lighting,sources_count,unknown,3
lighting,sources_type,artificial light,8
lighting,sources_type,unknown,4
objects,plane,background,15
objects,plane,foreground,24
objects,plane,midground,14
objects,side,center,32
objects,side,left,13
objects,side,right,7
objects,side,unknown,1
objects,type,accessory,1
objects,type,apparel detail,1
objects,type,architectural element,1
objects,type,architectural feature,1
objects,type,architecture,2
objects,type,background,2
objects,type,ball,1
objects,type,body part,1
objects,type,bokeh highlights,1
objects,type,chain link fence,1
objects,type,clothing,3
objects,type,competition bib,1
objects,type,cone,1
objects,type,element,1
objects,type,equipment,1
objects,type,exercise equipment,3
objects,type,fence,1
objects,type,flat bench,1
objects,type,floor mat,1
objects,type,footwear,3
objects,type,free weight rack,1
objects,type,garment,2
objects,type,grid truss skylights,1
objects,type,hand contact,1
objects,type,hanging towel,1
objects,type,human face,1
