cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,1
atmosphere,aesthetic_qualities,minimal,1
atmosphere,aesthetic_qualities,realistic,8
atmosphere,aesthetic_qualities,unknown,5
atmosphere,color_temperature,cool,2
atmosphere,color_temperature,neutral,4
atmosphere,color_temperature,unknown,2
atmosphere,color_temperature,warm,2
atmosphere,contrast_level,medium,9
atmosphere,contrast_level,unknown,1
atmosphere,dominant_palette,black,4
atmosphere,dominant_palette,brown,6
atmosphere,dominant_palette,unknown,10
atmosphere,mood,calm,10
atmosphere,saturation_level,neutral,3
atmosphere,saturation_level,unknown,1
atmosphere,saturation_level,vivid,6
background,object_counts_by_position,background center,11
background,object_counts_by_position,background left,4
background,object_counts_by_position,background right,6
background,object_counts_by_position,foreground center,22
background,object_counts_by_position,foreground left,14
background,object_counts_by_position,foreground right,7
background,object_counts_by_position,midground center,6
background,object_counts_by_position,midground left,5
background,object_counts_by_position,midground right,2
camera,angle,unknown,10
camera,crop,immediate tabletop,1
camera,crop,legs cropped,1
camera,crop,lower body cropped,1
camera,crop,lower torso hands cropped,1
camera,crop,tight,1
camera,crop,unknown,1
camera,crop,upper body cropped,1
camera,crop,upper torso and head,1
camera,crop,upper torso below waist,1
camera,depth_of_field,deep,3
camera,depth_of_field,shallow,7
camera,focal_length,normal,1
camera,focal_length,telephoto,2
camera,focal_length,unknown,7
camera,framing,close up,1
camera,framing,full body,1
camera,framing,headshot,3
camera,framing,medium,8
camera,framing,wide,1
camera,perspective,eye level,8
camera,perspective,unknown,2
environment,indoor_outdoor,unknown,10
environment,location_type,office,10
environment,spatial_layout_aisle_width,unknown,10
environment,spatial_layout_depth,deep,2
environment,spatial_layout_depth,moderate,2
environment,spatial_layout_depth,moderately deep,1
environment,spatial_layout_depth,open,2
environment,spatial_layout_depth,shallow,1
environment,spatial_layout_depth,unknown,2
environment,spatial_layout_openness,contained,1
environment,spatial_layout_openness,open,7
environment,spatial_layout_openness,unknown,2
environment,time_of_day_hint,unknown,10
environment,weather,clear,1
environment,weather,unknown,9
lighting,artifacts,background bokeh,1
lighting,artifacts,no lens flare,1
lighting,artifacts,reflections on eyeglass lenses artifact,3
lighting,artifacts,reflections on floor,1
lighting,artifacts,reflections on polished desk surface,1
lighting,artifacts,specular highlights various,3
lighting,color_temperature,cool,2
lighting,color_temperature,neutral,4
lighting,color_temperature,unknown,2
lighting,color_temperature,warm,2
lighting,contrast_level,medium,9
lighting,contrast_level,unknown,1
lighting,directionality,backlight,5
lighting,directionality,sidelight,6
lighting,directionality,top light,5
lighting,directionality,unknown,4
lighting,hardness,medium,1
lighting,hardness,soft light,16
lighting,saturation_level,neutral,3
lighting,saturation_level,unknown,1
lighting,saturation_level,vivid,6
lighting,shadows,soft,10
