cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,4
atmosphere,aesthetic_qualities,realistic,6
atmosphere,color_temperature,neutral,2
atmosphere,color_temperature,warm,6
atmosphere,contrast_level,high,1
atmosphere,contrast_level,medium,7
atmosphere,dominant_palette,black,2
atmosphere,dominant_palette,brown,8
atmosphere,dominant_palette,unknown,10
atmosphere,mood,calm,3
atmosphere,mood,joyful,3
atmosphere,saturation_level,neutral,7
atmosphere,saturation_level,vivid,1
background,object_counts_by_position,background center,16
background,object_counts_by_position,background left,8
background,object_counts_by_position,background right,12
background,object_counts_by_position,foreground center,34
background,object_counts_by_position,foreground left,20
background,object_counts_by_position,foreground right,26
background,object_counts_by_position,midground center,20
background,object_counts_by_position,midground left,6
background,object_counts_by_position,midground right,14
camera,crop,centered chef,1
camera,crop,mid torso upward,1
camera,crop,partial lower body occluded,1
camera,crop,tight cutting board area,1
camera,crop,torso hands medium close,1
camera,crop,waist above head,1
camera,crop,waist level,1
camera,crop,waist to head,1
camera,depth_of_field,shallow,16
camera,focal_length,telephoto,2
camera,framing,close up,2
camera,framing,medium,14
camera,perspective,eye level,10
environment,color,black,12
environment,color,darkblue,1
environment,color,gray,5
environment,color,silver,3
environment,color,white,6
environment,condition,clean,7
environment,condition,good,3
environment,condition,slightly streaked,1
environment,condition,smudged,1
environment,condition,used,1
environment,condition,well maintained,1
environment,finish,brushed,2
environment,finish,glossy,6
environment,finish,high gloss,2
environment,finish,matte,2
environment,finish,polished,3
environment,finish,reflective,3
environment,indoor_outdoor,unknown,10
environment,location_type,commercial kitchen,8
environment,location_type,unknown,2
environment,material,ceramic,3
environment,material,ceramic tile,1
environment,material,metal,2
environment,material,stainless steel,8
environment,material,subway tile,1
environment,material,tile,2
environment,material,wood,1
environment,spatial_layout_depth,moderate,5
environment,spatial_layout_depth,moderately deep,1
environment,spatial_layout_depth,shallow,1
environment,spatial_layout_openness,closed,1
environment,spatial_layout_openness,enclosed,1
environment,spatial_layout_openness,open,1
environment,surfaces_ceiling_material,stainless steel,3
environment,surfaces_ceiling_material,wood,1
environment,surfaces_walls_material,wall ceramic,3
environment,surfaces_walls_material,wall ceramic tile,1
environment,surfaces_walls_material,wall metal,2
environment,surfaces_walls_material,wall stainless steel,8
environment,surfaces_walls_material,wall subway tile,1
environment,surfaces_walls_material,wall tile,2
environment,texture,brushed,6
environment,texture,brushed metal,1
environment,texture,glossy,3
environment,texture,reflective,3
environment,texture,ribbed,1
environment,texture,rough,1
environment,texture,smooth,5
lighting,artifacts,artifact bokeh,1
lighting,artifacts,artifact specular highlights,2
lighting,artifacts,artifact specular reflections,1
lighting,artifacts,bokeh,1
lighting,artifacts,specular highlights,2
lighting,artifacts,specular reflections,1
lighting,color_temperature,neutral,2
lighting,color_temperature,warm,10
lighting,contrast_level,high,2
lighting,contrast_level,medium,10
lighting,saturation_level,neutral,12
lighting,shadows,soft,14
lighting,sources,artificial,9
lighting,sources,mixed,1
lighting,sources,unknown,2
lighting,sources_count,four or more,1
lighting,sources_count,one light source,3
lighting,sources_count,two light,2
lighting,sources_directionality,unknown,14
lighting,sources_hardness,light medium,1
lighting,sources_hardness,light soft,11
lighting,sources_type,light source artificial,9
lighting,sources_type,light source mixed,1
lighting,sources_type,unknown,2
objects,color,black,2
objects,color,brown,12
objects,color,darkblue,3
objects,color,gray,3
objects,color,green,6
objects,color,lightyellow,3
objects,color,mediumseagreen,1
objects,color,palegreen,1
objects,color,pink,4
objects,color,red,6
objects,color,silver,29
objects,color,white,19
objects,color,yellow,1
objects,material,baked dough,2
objects,material,cast iron,2
objects,material,ceramic,15
objects,material,cotton,1
objects,material,cotton or cotton blend,1
objects,material,glass,2
objects,material,metal,8
objects,material,organic,2
objects,material,plant,2
objects,material,raw meat,2
objects,material,stainless steel,24
objects,material,unknown,1
objects,material,wood,14
objects,material,wood or metal frame,1
objects,plane,background,18
objects,plane,foreground,40
objects,plane,midground,20
objects,side,center,35
objects,side,left,17
objects,side,right,26
objects,type,appliance,1
objects,type,bowl,2
objects,type,bread,1
objects,type,bread basket,1
objects,type,cabinet doors,1
objects,type,chef hat,1
objects,type,container,2
objects,type,cooking pot,1
objects,type,cooking spoon,1
objects,type,cooking surface griddle,1
objects,type,cookware,1
objects,type,cutting board,6
objects,type,eggs,1
objects,type,fixture,1
objects,type,food generic,4
objects,type,furniture,1
objects,type,garlic,1
objects,type,griddle edge,1
objects,type,hanging utensils,1
objects,type,hat,1
objects,type,head covering,1
objects,type,herbs,1
objects,type,kitchen knife,1
objects,type,knife,1
objects,type,light fixture,1
objects,type,mixing bowl,3
objects,type,open shelving,2
objects,type,plate,2
objects,type,prep container,1
objects,type,prep counter,1
objects,type,preparation counter,1
objects,type,produce,1
objects,type,range hood,1
objects,type,range top,1
objects,type,rolling like utensil,1
objects,type,salt,1
objects,type,saucepan,2
objects,type,serving pan,1
objects,type,serving plate,4
objects,type,shelving unit,2
objects,type,stacked plates,1
objects,type,stockpots,1
objects,type,storage racks,1
objects,type,surface,1
objects,type,tableware,1
objects,type,tiles,1
objects,type,tomato,1
objects,type,tomatoes,1
objects,type,utensil,5
objects,type,utensils,1
objects,type,vent hood,1
objects,type,ventilation hood,3
objects,type,window,1
people,age_range,middle aged,6
people,age_range,young adult,2
people,clothing_colors,black,11
