cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,6
atmosphere,aesthetic_qualities,dreamy,7
atmosphere,aesthetic_qualities,minimal,1
atmosphere,aesthetic_qualities,realistic,5
atmosphere,aesthetic_quality,cinematic,6
atmosphere,aesthetic_quality,dreamy,7
atmosphere,aesthetic_quality,minimal,1
atmosphere,aesthetic_quality,realistic,5
atmosphere,color_temperature,warm,7
atmosphere,contrast_level,medium,7
atmosphere,dominant_palette,black,1
atmosphere,dominant_palette,brown,6
atmosphere,dominant_palette,lightgreen,6
atmosphere,dominant_palette,unknown,13
atmosphere,mood,calm,10
atmosphere,mood,dramatic,2
atmosphere,mood,minimalistic,1
atmosphere,saturation_level,vivid,6
background,object_counts_by_position,background center,5
background,object_counts_by_position,background left,9
background,object_counts_by_position,background right,9
background,object_counts_by_position,foreground center,8
background,object_counts_by_position,foreground left,5
background,object_counts_by_position,foreground right,2
background,object_counts_by_position,midground center,4
background,object_counts_by_position,midground left,3
background,object_counts_by_position,midground right,1
background,object_counts_by_position,unknown,1
camera,crop,full torso legs,1
camera,crop,head near upper third,1
camera,crop,lower skirt partially cropped,1
camera,crop,lower tip supporting foot cropped,1
camera,crop,mid torso,1
camera,crop,space above skirt near left light source,1
camera,crop,unknown,1
camera,crop,upper arms partially cropped,1
camera,depth_of_field,shallow,10
camera,focal_length,normal,1
camera,focal_length,telephoto,2
camera,framing,full body,4
camera,framing,medium,3
camera,framing,wide,1
camera,perspective,eye level,6
camera,perspective,low angle,1
environment,indoor_outdoor,unknown,10
environment,location_type,dance practice room,1
environment,location_type,dance studio,3
environment,location_type,landscaped area,1
environment,location_type,outdoor space,1
environment,location_type,portrait studio,1
environment,location_type,practice space,1
environment,location_type,rehearsal studio,1
environment,location_type,studio,1
environment,openness,enclosed,1
environment,openness,open,9
environment,spatial_depth,moderate,6
environment,spatial_depth,shallow,2
environment,time_of_day_hint,afternoon,3
environment,weather,mist,1
environment,weather,sunny,2
lighting,artifacts,bloom,1
lighting,artifacts,bokeh,3
lighting,artifacts,glow halo,1
lighting,artifacts,highlight bloom,2
lighting,artifacts,motion blur,1
lighting,artifacts,slight bloom around highlights,1
lighting,artifacts,soft reflection floor,1
lighting,color_temperature,neutral,1
lighting,color_temperature,warm,7
lighting,contrast_level,high,1
lighting,contrast_level,medium,7
lighting,directionality,backlight,7
lighting,directionality,sidelight,3
lighting,directionality,top light,1
