cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,7
atmosphere,aesthetic_qualities,realistic,8
atmosphere,color_temperature,warm,9
atmosphere,contrast_level,high,2
atmosphere,contrast_level,medium,7
atmosphere,dominant_palette,unknown,10
atmosphere,mood,calm,10
atmosphere,mood,joyful,1
atmosphere,palette_color,brown,10
atmosphere,saturation_level,neutral,8
atmosphere,saturation_level,vivid,1
background,object_counts_by_position,background center,8
background,object_counts_by_position,background left,1
background,object_counts_by_position,background right,4
background,object_counts_by_position,foreground center,14
background,object_counts_by_position,foreground left,4
background,object_counts_by_position,foreground right,2
background,object_counts_by_position,midground center,10
background,object_counts_by_position,midground left,4
background,object_counts_by_position,midground right,4
camera,crop,lower body cropped,2
camera,crop,other variants singles,4
camera,depth_of_field,moderate,1
camera,depth_of_field,shallow,9
camera,focal_length,normal,1
camera,focal_length,telephoto,7
camera,framing,close up,2
camera,framing,establishing,1
camera,framing,headshot,2
camera,framing,medium,9
camera,perspective,eye level,8
camera,perspective,low angle,1
environment,aisle_width,unknown,1
environment,indoor_outdoor,unknown,10
environment,location_type,agricultural field,7
environment,location_type,farmland,2
environment,location_type,farmyard,1
environment,openness,open,10
environment,spatial_layout_depth,compressed,1
environment,spatial_layout_depth,deep,3
environment,spatial_layout_depth,moderate,4
environment,spatial_layout_depth,shallow,2
environment,time_of_day_hint,afternoon,7
environment,time_of_day_hint,dusk,1
environment,time_of_day_hint,evening,1
environment,weather,clear,2
environment,weather,cloudy,4
environment,weather,overcast,1
environment,weather,sunny,2
lighting,artifacts,bokeh,1
lighting,artifacts,rim highlight,1
lighting,artifacts,specular highlights,1
lighting,color_temperature,warm,9
lighting,contrast_level,high,2
lighting,contrast_level,medium,7
lighting,saturation_level,neutral,8
lighting,saturation_level,vivid,1
lighting,shadows,soft,9
lighting,sources_count,one source,10
lighting,sources_directionality,backlight,4
lighting,sources_directionality,sidelight,5
lighting,sources_directionality,toplight,1
lighting,sources_directionality,unknown,5
lighting,sources_hardness,soft light,10
lighting,sources_type,unknown,10
objects,color,beige,6
objects,color,black,3
objects,color,brown,21
objects,color,darkblue,3
objects,color,darkgreen,6
objects,color,gold,4
objects,color,gray,2
objects,color,green,6
objects,color,red,4
objects,color,tan,4
objects,color,white,1
objects,color,yellow,2
objects,material,cotton,2
objects,material,hay,1
objects,material,metal,5
objects,material,plant,13
objects,material,rubber,3
objects,material,soil,8
objects,material,straw,18
objects,material,wicker,1
objects,material,wood,5
objects,type,agricultural,1
objects,type,agricultural product,3
objects,type,building silhouette,2
objects,type,bundle,1
objects,type,clothing,1
objects,type,container,1
objects,type,crop residue band,1
objects,type,crop rows,2
objects,type,cultivated field,1
objects,type,farm tractor,1
objects,type,fence,2
objects,type,furrow,1
objects,type,garment,1
objects,type,ground,1
objects,type,ground feature,1
objects,type,hand tool,2
objects,type,hat,3
objects,type,head covering,2
objects,type,headwear,2
objects,type,landscape,2
objects,type,livestock,1
objects,type,loose straw,1
objects,type,plant,2
objects,type,plant bundle,1
objects,type,sky,2
objects,type,soil,1
objects,type,soil patch,1
