cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,17
atmosphere,aesthetic_qualities,dreamy,2
atmosphere,aesthetic_qualities,quality cinematic,4
atmosphere,aesthetic_qualities,quality dreamy,1
atmosphere,aesthetic_qualities,quality realistic,6
atmosphere,aesthetic_qualities,realistic,23
atmosphere,aesthetic_qualities,unknown,5
atmosphere,color_temperature,cool,11
atmosphere,color_temperature,neutral,6
atmosphere,color_temperature,unknown,4
atmosphere,color_temperature,warm,13
atmosphere,contrast_level,high,9
atmosphere,contrast_level,medium,29
atmosphere,contrast_level,unknown,4
atmosphere,dominant_palette,black,17
atmosphere,dominant_palette,blue,1
atmosphere,dominant_palette,brown,32
atmosphere,dominant_palette,cyan,1
atmosphere,dominant_palette,mediumblue,7
atmosphere,dominant_palette,mediumvioletred,2
atmosphere,dominant_palette,unknown,20
atmosphere,lighting_color_temperature,cool,7
atmosphere,lighting_color_temperature,neutral,1
atmosphere,mood,calm,41
atmosphere,mood,dramatic,1
atmosphere,mood,melancholic,1
atmosphere,saturation_level,neutral,17
atmosphere,saturation_level,unknown,4
atmosphere,saturation_level,vivid,21
background,object_counts_by_position,background center,53
background,object_counts_by_position,background left,35
background,object_counts_by_position,background right,34
background,object_counts_by_position,foreground center,50
background,object_counts_by_position,foreground left,45
background,object_counts_by_position,foreground right,36
background,object_counts_by_position,midground center,50
background,object_counts_by_position,midground left,29
background,object_counts_by_position,midground right,41
background,object_counts_by_position,unknown,2
background,position,background center,2
background,position,background left,6
background,position,background right,7
background,position,foreground center,12
background,position,foreground left,5
background,position,foreground right,7
background,position,midground center,10
background,position,midground left,9
background,position,midground right,8
background,position,unknown,2
camera,angle,unknown,10
camera,crop,buildings cropped top sides,1
camera,crop,bus side sidewalk cropped,1
camera,crop,centered,1
camera,crop,centered subject,1
camera,crop,cropped frame edges,1
camera,crop,left partial,1
camera,crop,lower body cropped,4
camera,crop,lower body out of frame,1
camera,crop,lower torso legs cropped,1
camera,crop,mid body,1
camera,crop,mid torso,1
camera,crop,midground center subject slightly right pole,1
camera,crop,peripheral vehicles partially cropped,1
camera,crop,right extension,1
camera,crop,rightmost seatback partially cropped,1
camera,crop,standard,1
camera,crop,subject center left,1
camera,crop,subject center right,1
camera,crop,tight,1
camera,crop,tight vertical,1
camera,crop,torso head,1
camera,crop,unknown,1
camera,crop,upper torso,1
camera,depth_of_field,deep,20
camera,depth_of_field,moderate,11
