cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,14
atmosphere,aesthetic_qualities,minimal,4
atmosphere,aesthetic_qualities,realistic,32
atmosphere,aesthetic_qualities,unknown,13
atmosphere,color,black,2
atmosphere,color,brown,2
atmosphere,color,mediumblue,4
atmosphere,color,orangered,1
atmosphere,color,per image share,0
atmosphere,color,within attribute share,0
atmosphere,color_temperature,cool,23
atmosphere,color_temperature,neutral,13
atmosphere,color_temperature,unknown,8
atmosphere,color_temperature,warm,3
atmosphere,contrast_level,high,4
atmosphere,contrast_level,medium,38
atmosphere,contrast_level,unknown,5
atmosphere,dominant_color,black,1
atmosphere,dominant_color,brown,9
atmosphere,dominant_palette,black,11
atmosphere,dominant_palette,blue,2
atmosphere,dominant_palette,brown,15
atmosphere,dominant_palette,orange,1
atmosphere,dominant_palette,red,1
atmosphere,dominant_palette,unknown,39
atmosphere,mood,calm,44
atmosphere,mood,joyful,2
atmosphere,mood,minimalistic,2
atmosphere,mood,unknown,2
atmosphere,saturation_level,neutral,19
atmosphere,saturation_level,unknown,5
atmosphere,saturation_level,vivid,22
background,object_count_by_position_total,background center,16
background,object_count_by_position_total,background left,4
background,object_count_by_position_total,background right,5
background,object_count_by_position_total,foreground center,23
background,object_count_by_position_total,foreground left,17
background,object_count_by_position_total,foreground right,17
background,object_count_by_position_total,midground center,115
background,object_count_by_position_total,midground left,13
background,object_count_by_position_total,midground right,17
background,object_counts_by_position,background center,36
background,object_counts_by_position,background left,9
background,object_counts_by_position,background right,16
background,object_counts_by_position,foreground center,66
background,object_counts_by_position,foreground left,29
background,object_counts_by_position,foreground right,20
background,object_counts_by_position,midground center,23
background,object_counts_by_position,midground left,21
background,object_counts_by_position,midground right,11
background,object_counts_by_position,unknown,3
background,position,background center,23
background,position,background left,8
background,position,background right,8
background,position,foreground center,37
background,position,foreground left,14
background,position,foreground right,11
background,position,midground center,18
background,position,midground left,15
background,position,midground right,10
background,position,unknown,4
background,totals_by_position,background center,11
background,totals_by_position,background left,0
background,totals_by_position,background right,3
