cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,20
atmosphere,aesthetic_qualities,dreamy,4
atmosphere,aesthetic_qualities,realistic,24
atmosphere,aesthetic_qualities,unknown,8
atmosphere,color_temperature,cool,2
atmosphere,color_temperature,neutral,2
atmosphere,color_temperature,unknown,8
atmosphere,color_temperature,warm,25
atmosphere,contrast_level,high,3
atmosphere,contrast_level,medium,26
atmosphere,contrast_level,unknown,8
atmosphere,dominant_palette,black,2
atmosphere,dominant_palette,blue,3
atmosphere,dominant_palette,brown,22
atmosphere,dominant_palette,mediumblue,3
atmosphere,dominant_palette,orange,1
atmosphere,dominant_palette,orangered,1
atmosphere,dominant_palette,unknown,30
atmosphere,mood,calm,15
atmosphere,mood,joyful,7
atmosphere,mood,unknown,6
atmosphere,saturation_level,neutral,28
atmosphere,saturation_level,unknown,8
atmosphere,saturation_level,vivid,1
background,object_counts_by_position,background center,42
background,object_counts_by_position,background left,20
background,object_counts_by_position,background right,30
background,object_counts_by_position,foreground center,79
background,object_counts_by_position,foreground left,50
background,object_counts_by_position,foreground right,57
background,object_counts_by_position,midground center,46
background,object_counts_by_position,midground left,29
background,object_counts_by_position,midground right,34
background,object_counts_by_position,unknown,1
camera,angle,unknown,10
camera,crop,centered chef,1
camera,crop,lower body cropped,5
camera,crop,lower body cropped at waist,1
camera,crop,lower body cropped below waist,1
camera,crop,lower body cropped out,1
camera,crop,lower frame partially occluded,1
camera,crop,lower legs cropped,2
camera,crop,medium tight,1
camera,crop,mid torso upward,1
camera,crop,partial lower body,1
camera,crop,partial lower body occluded,1
camera,crop,slightly canted,1
camera,crop,tight cutting board area,1
camera,crop,tight waist up,1
camera,crop,torso hands medium close,1
camera,crop,upper ventilation hood partially cropped,1
camera,crop,waist above head,1
camera,crop,waist level,1
camera,crop,waist to head,1
camera,depth_of_field,moderate,3
camera,depth_of_field,shallow,42
camera,depth_of_field,unknown,1
camera,focal_length,normal,1
camera,focal_length,telephoto,7
camera,focal_length,unknown,6
camera,framing,close up,2
camera,framing,headshot,5
camera,framing,medium,41
camera,framing,unknown,1
camera,framing,wide,2
camera,perspective,eye level,22
camera,perspective,unknown,4
environment,ceiling_material,metal,1
environment,ceiling_material,metal ductwork,1
environment,ceiling_material,plastic,1
environment,ceiling_material,stainless steel,2
environment,ceiling_material,unknown,4
environment,ceiling_material,wood,1
environment,ceiling_texture,brushed,2
environment,ceiling_texture,frosted,1
environment,ceiling_texture,matte,1
environment,ceiling_texture,smooth,2
environment,ceiling_texture,unknown,4
environment,ceiling_texture,varnished,1
environment,color,black,12
