cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,30
atmosphere,aesthetic_qualities,dreamy,15
atmosphere,aesthetic_qualities,minimal,1
atmosphere,aesthetic_qualities,realistic,22
atmosphere,aesthetic_qualities,unknown,7
atmosphere,aesthetic_quality,cinematic,6
atmosphere,aesthetic_quality,dreamy,7
atmosphere,aesthetic_quality,minimal,1
atmosphere,aesthetic_quality,realistic,5
atmosphere,color_temperature,unknown,2
atmosphere,color_temperature,warm,25
atmosphere,contrast_level,high,17
atmosphere,contrast_level,low,1
atmosphere,contrast_level,medium,28
atmosphere,contrast_level,unknown,2
atmosphere,dominant_palette,black,3
atmosphere,dominant_palette,brown,47
atmosphere,dominant_palette,lightgreen,11
atmosphere,dominant_palette,mediumvioletred,11
atmosphere,dominant_palette,orangered,1
atmosphere,dominant_palette,red,5
atmosphere,dominant_palette,unknown,35
atmosphere,mood,calm,39
atmosphere,mood,dramatic,18
atmosphere,mood,melancholic,1
atmosphere,mood,minimalistic,1
atmosphere,saturation_level,neutral,24
atmosphere,saturation_level,unknown,2
atmosphere,saturation_level,vivid,14
atmosphere,temperature,cool,2
atmosphere,temperature,neutral,2
atmosphere,temperature,warm,19
background,object_counts_by_position,background center,38
background,object_counts_by_position,background left,28
background,object_counts_by_position,background right,40
background,object_counts_by_position,foreground center,47
background,object_counts_by_position,foreground left,24
background,object_counts_by_position,foreground right,21
background,object_counts_by_position,midground center,23
background,object_counts_by_position,midground left,22
background,object_counts_by_position,midground right,27
background,object_counts_by_position,unknown,1
camera,angle,dolly out,1
camera,angle,unknown,19
camera,crop,cabinetry left partially cropped,1
camera,crop,cabinetry right partially cropped,1
camera,crop,full torso legs,1
camera,crop,head near upper third,2
camera,crop,includes floor area,1
camera,crop,includes full figure,1
camera,crop,lower skirt partially cropped,1
camera,crop,lower tip supporting foot cropped,1
camera,crop,mid torso,1
camera,crop,slight top,1
camera,crop,some headspace,1
camera,crop,space above skirt near left light source,1
camera,crop,unknown,1
camera,crop,upper arms partially cropped,1
camera,depth_of_field,deep,1
camera,depth_of_field,moderate,2
camera,depth_of_field,moderate dof,1
camera,depth_of_field,shallow,46
camera,depth_of_field,shallow dof,5
camera,depth_of_field,unknown,8
camera,focal_length,normal,18
camera,focal_length,telephoto,7
camera,focal_length,unknown,12
camera,framing,establishing shot,1
camera,framing,full body,27
camera,framing,headshot,1
camera,framing,medium,16
camera,framing,unknown,2
camera,framing,wide,7
camera,perspective,eye level,36
camera,perspective,low angle,5
camera,perspective,third person,3
camera,perspective,unknown,9
environment,ceiling_color,black,8
environment,ceiling_color,darkblue,6
environment,ceiling_color,lightyellow,1
environment,ceiling_color,snow,1
environment,ceiling_color,white,2
environment,ceiling_condition,slight dust,1
environment,ceiling_condition,unknown,6
environment,ceiling_condition,weathered,1
environment,ceiling_condition,well maintained,1
environment,ceiling_finish,glossy,1
environment,ceiling_finish,matte,4
environment,ceiling_finish,polished,1
environment,ceiling_finish,unknown,3
environment,ceiling_material,metal,4
environment,ceiling_material,unknown,5
environment,ceiling_texture,detailed,1
environment,ceiling_texture,glossy metal,1
environment,ceiling_texture,matte,4
environment,ceiling_texture,truss,1
environment,ceiling_texture,unknown,3
environment,floor_color,black,2
environment,floor_color,brown,5
environment,floor_color,darkblue,1
environment,floor_color,honeydew,1
environment,floor_color,pink,1
environment,floor_color,white,1
environment,floor_condition,minimal scuffing,6
environment,floor_condition,polished,8
environment,floor_finish,glossy,6
environment,floor_finish,low reflectance,1
environment,floor_finish,polished,4
environment,floor_finish,reflective,3
environment,floor_finish,satin sheen,1
environment,floor_finish,soft sheen,1
environment,floor_material,hardwood,2
environment,floor_material,unknown,2
environment,floor_material,varnished wood,1
environment,floor_material,wood,7
environment,floor_texture,glossy,1
environment,floor_texture,glossy reflection,1
environment,floor_texture,grain,1
environment,floor_texture,plank,1
environment,floor_texture,polished,1
environment,floor_texture,reflective,2
environment,floor_texture,smooth,9
environment,floor_texture,woodgrain,1
environment,indoor_outdoor,unknown,50
environment,location_type,dance practice room,1
environment,location_type,dance studio,5
environment,location_type,domestic kitchen,2
environment,location_type,kitchen,12
environment,location_type,landscaped area,1
environment,location_type,outdoor space,1
environment,location_type,performance hall,2
environment,location_type,performance space,2
environment,location_type,portrait studio,1
environment,location_type,practice room,1
environment,location_type,practice space,1
environment,location_type,rehearsal studio,2
environment,location_type,residential kitchen,6
environment,location_type,stage,3
environment,location_type,studio,1
environment,location_type,theater,1
environment,location_type,theatrical performance space,2
environment,location_type,theatrical stage,6
environment,openness,enclosed,1
environment,openness,moderate,3
environment,openness,open,10
environment,openness,unknown,1
environment,spatial_depth,moderate,12
environment,spatial_depth,shallow,5
environment,spatial_layout_aisle_width,moderate,1
environment,spatial_layout_aisle_width,unknown,19
environment,spatial_layout_depth,deep,4
environment,spatial_layout_depth,moderate,14
environment,spatial_layout_depth,open,5
environment,spatial_layout_depth,shallow,1
environment,spatial_layout_depth,unknown,1
environment,spatial_layout_openness,compact,1
environment,spatial_layout_openness,open,23
environment,spatial_layout_openness,unknown,2
environment,time_of_day_hint,afternoon,5
environment,time_of_day_hint,unknown,19
environment,walls_color,beige,1
environment,walls_color,black,4
environment,walls_color,brown,1
environment,walls_color,cyan,1
environment,walls_color,darkblue,4
environment,walls_color,gray,6
environment,walls_color,lightblue,1
environment,walls_color,lightyellow,1
environment,walls_color,mediumpurple,2
environment,walls_color,palegreen,2
environment,walls_color,white,10
environment,walls_condition,aged,2
environment,walls_condition,aged but maintained,1
environment,walls_condition,clean,1
environment,walls_condition,dust holding shadowed crevices,1
environment,walls_condition,good,1
environment,walls_condition,intact,1
environment,walls_condition,slightly worn,1
environment,walls_condition,unknown,4
environment,walls_finish,matte,8
environment,walls_finish,smooth,1
environment,walls_finish,unknown,3
environment,walls_material,ceramic,2
environment,walls_material,ceramic tile,6
environment,walls_material,drywall,1
environment,walls_material,fabric,3
environment,walls_material,marble patterned,1
environment,walls_material,metal,1
environment,walls_material,paint,3
environment,walls_material,painted drywall,1
environment,walls_material,painted surface,2
environment,walls_material,painted wood,2
environment,walls_material,plaster,2
environment,walls_material,stone tile,1
environment,walls_material,unknown,4
environment,walls_material,wood,3
environment,walls_texture,aged,1
environment,walls_texture,hazy,1
environment,walls_texture,matte,2
environment,walls_texture,mottled,1
environment,walls_texture,smooth,4
environment,walls_texture,textured,2
environment,walls_texture,unknown,2
environment,walls_texture,vertical folds,1
environment,walls_texture,weathered,1
environment,weather,mist,1
environment,weather,overcast,1
environment,weather,sunny,3
environment,weather,unknown,20
lighting,artifacts,bloom,4
lighting,artifacts,bokeh,3
lighting,artifacts,bulb halos,1
lighting,artifacts,gentle bloom,2
lighting,artifacts,glow halo,1
lighting,artifacts,halo,1
lighting,artifacts,haze,1
lighting,artifacts,highlight bloom,2
lighting,artifacts,lens flare,2
lighting,artifacts,light bloom,1
lighting,artifacts,light rays,1
lighting,artifacts,low gloss reflections floor,1
lighting,artifacts,mild bloom,1
lighting,artifacts,mild glow around fixtures,1
lighting,artifacts,minor glare,1
lighting,artifacts,motion blur,2
lighting,artifacts,motion blur limbs,1
lighting,artifacts,motion blur right pointe shoe,1
lighting,artifacts,no lens flare visible,1
lighting,artifacts,slight bloom around highlights,1
lighting,artifacts,soft circular flares,1
lighting,artifacts,soft grid shadows window,1
lighting,artifacts,soft reflection floor,1
lighting,artifacts,soft specular highlights metal,1
lighting,artifacts,soft veiling,1
lighting,artifacts,specular highlights satin beading,1
lighting,artifacts,specular reflection backsplash,1
lighting,artifacts,specular reflection floor,1
lighting,artifacts,specular reflection kettle,1
lighting,artifacts,specular reflections,1
lighting,artifacts,visible dust haze beams,1
lighting,color_temperature,cool,2
lighting,color_temperature,neutral,3
lighting,color_temperature,unknown,6
lighting,color_temperature,warm,55
lighting,contrast_level,high,24
lighting,contrast_level,low,2
lighting,contrast_level,medium,25
lighting,contrast_level,unknown,6
lighting,directionality,backlight,7
lighting,directionality,sidelight,8
lighting,directionality,top light,1
lighting,directionality,unknown,4
lighting,hardness,soft,24
lighting,saturation_level,neutral,38
lighting,saturation_level,unknown,6
lighting,saturation_level,vivid,20
lighting,shadows,casting,5
lighting,shadows,hard,2
lighting,shadows,medium,3
lighting,shadows,soft,30
lighting,shadows,unknown,2
lighting,source_count,one light,10
lighting,source_type,artificial light,3
lighting,source_type,unknown,7
lighting,sources_count,four or more,7
lighting,sources_count,one,4
lighting,sources_count,one light source,11
lighting,sources_count,one source,6
lighting,sources_count,three,1
lighting,sources_count,two,1
lighting,sources_count,unknown,5
lighting,sources_directionality,backlight,20
lighting,sources_directionality,sidelight,9
lighting,sources_directionality,toplight,13
lighting,sources_directionality,unknown,10
lighting,sources_hardness,hard,7
lighting,sources_hardness,medium,3
lighting,sources_hardness,soft,12
lighting,sources_hardness,unknown,2
lighting,sources_type,artificial,23
lighting,sources_type,artificial light,5
lighting,sources_type,artificial light source,6
lighting,sources_type,unknown,30
objects,color,black,7
objects,color,brown,6
objects,color,crimson,1
objects,color,darkblue,4
objects,color,gray,6
objects,color,green,9
objects,color,lightgreen,1
objects,color,lightyellow,3
objects,color,mediumpurple,1
objects,color,others,0
objects,color,palegreen,1
objects,color,pink,2
objects,color,red,1
objects,color,silver,25
objects,color,white,26
objects,color,yellow,2
objects,condition,clean,27
objects,condition,gently used,2
objects,condition,good,16
objects,condition,intact,2
objects,condition,pristine,2
objects,condition,unknown,13
objects,condition,used,3
objects,condition,well maintained,3
objects,finish,brushed metal,9
objects,finish,gloss,5
objects,finish,matte,6
objects,finish,polished,3
objects,finish,reflective,8
objects,material,ceramic,5
objects,material,fabric shade,1
objects,material,glass,8
objects,material_aggregated,metal,20
objects,material_aggregated,others,0
objects,material_aggregated,painted wood,3
objects,material_aggregated,paper,2
objects,material_aggregated,plastic,2
objects,material_aggregated,stainless steel,11
objects,material_aggregated,terracotta,1
objects,material_aggregated,wood,6
objects,plane,background,104
objects,plane,background objects,39
objects,plane,foreground,52
objects,plane,foreground objects,54
objects,plane,midground,73
objects,plane,midground objects,47
objects,plane_distribution,background,39
objects,plane_distribution,foreground,54
objects,plane_distribution,midground,47
objects,side,center,91
objects,side,center objects,48
objects,side,left,61
objects,side,left objects,39
objects,side,right,76
objects,side,right objects,53
objects,side_distribution,center,48
objects,side_distribution,left,39
objects,side_distribution,right,53
objects,subtype_distribution,built microwave,1
objects,subtype_distribution,built oven,1
objects,subtype_distribution,butcher block counter,1
objects,subtype_distribution,ceramic bowl,8
objects,subtype_distribution,dark composite countertop,1
objects,subtype_distribution,glass carafe,1
objects,subtype_distribution,glass pitcher,1
objects,subtype_distribution,hanging cookware array,1
objects,subtype_distribution,hardwood floor,3
objects,subtype_distribution,island cabinet assembly,1
objects,subtype_distribution,kettle,1
objects,subtype_distribution,kitchen cabinet,35
objects,subtype_distribution,matte black kettle,1
objects,subtype_distribution,metal canisters,1
objects,subtype_distribution,multi pane window,3
objects,subtype_distribution,open shelves sink,1
objects,subtype_distribution,others,0
objects,subtype_distribution,paper towel roll,2
objects,subtype_distribution,pendant lamp,1
objects,subtype_distribution,pendant light,1
objects,subtype_distribution,potted plants,7
objects,subtype_distribution,runner rug,1
objects,subtype_distribution,sink shelving plant group,1
objects,subtype_distribution,small bowl or dish,1
objects,subtype_distribution,spice jars mug,1
objects,subtype_distribution,stainless steel extractor hood,1
objects,subtype_distribution,table lamp,1
objects,subtype_distribution,trash bin,1
objects,subtype_distribution,tulle skirt,2
objects,subtype_distribution,two door refrigerator,1
objects,subtype_distribution,unknown,1
objects,subtype_distribution,utensil rail,1
objects,subtype_distribution,wood planks,1
objects,texture_top,brushed,10
objects,texture_top,glossy,6
objects,texture_top,leafy,2
objects,texture_top,matte,5
objects,texture_top,polished,3
objects,texture_top,reflective,8
objects,texture_top,smooth,40
objects,texture_top,visible wood grain,2
objects,type,angular shadow pattern,1
objects,type,appliance,6
objects,type,architectural element,2
objects,type,architectural feature,1
objects,type,architectural structure,1
objects,type,architecture,1
objects,type,atmosphere elements,2
objects,type,atmosphere object level,3
objects,type,atmospheric element,1
objects,type,atmospheric haze,1
objects,type,audience,1
objects,type,audience silhouettes,1
objects,type,backdrop,1
objects,type,ballet barre,1
objects,type,barrier,1
objects,type,bench,1
objects,type,bokeh,1
objects,type,bowl,3
objects,type,bright backlight,1
objects,type,bright circular bokeh patches,1
objects,type,bright rectangular highlight,1
objects,type,cabinet,2
objects,type,cabinetry,4
objects,type,ceiling beams,1
objects,type,ceramic or glass cooktop,30
objects,type,clothing,5
objects,type,clothing detail,1
objects,type,clothing object level,1
objects,type,concrete floor,2
objects,type,container,9
objects,type,cooking vessel,2
objects,type,cookware,3
objects,type,countertop,5
objects,type,curtain,2
objects,type,curtains,10
objects,type,cutting board,4
objects,type,dance floor,1
objects,type,decor,3
objects,type,decorative lights,1
objects,type,dense haze,1
