cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,38
atmosphere,aesthetic_qualities,dreamy,3
atmosphere,aesthetic_qualities,realistic,36
atmosphere,aesthetic_qualities,unknown,13
atmosphere,color_temperature,cool,5
atmosphere,color_temperature,unknown,4
atmosphere,color_temperature,warm,30
atmosphere,contrast_level,high,5
atmosphere,contrast_level,medium,37
atmosphere,contrast_level,unknown,6
atmosphere,dominant_palette,brown,30
atmosphere,dominant_palette,unknown,30
atmosphere,mood,calm,60
atmosphere,mood,joyful,1
atmosphere,palette,brown,10
atmosphere,palette_color,brown,10
atmosphere,profile_aesthetic_qualities,quality cinematic,6
atmosphere,profile_aesthetic_qualities,quality dreamy,3
atmosphere,profile_aesthetic_qualities,quality realistic,8
atmosphere,profile_color_temperature,warm,9
atmosphere,profile_contrast_level,medium,10
atmosphere,profile_saturation_level,neutral,3
atmosphere,profile_saturation_level,vivid,6
atmosphere,saturation_level,neutral,26
atmosphere,saturation_level,unknown,8
atmosphere,saturation_level,vivid,13
atmosphere,temperature,neutral,1
atmosphere,temperature,warm,8
background,object_counts_by_position,background center,58
background,object_counts_by_position,background left,22
background,object_counts_by_position,background right,26
background,object_counts_by_position,foreground center,39
background,object_counts_by_position,foreground left,27
background,object_counts_by_position,foreground right,12
background,object_counts_by_position,midground center,35
background,object_counts_by_position,midground left,13
background,object_counts_by_position,midground right,19
background,position,background center,12
background,position,background left,9
background,position,background right,19
background,position,foreground center,23
background,position,foreground left,19
background,position,foreground right,14
background,position,midground center,24
background,position,midground left,16
background,position,midground right,20
camera,angle,unknown,20
camera,crop,book,1
camera,crop,bottom cropped,1
camera,crop,bottom edge crops lower legs,1
camera,crop,excludes lower legs footwear,1
camera,crop,hands,1
camera,crop,includes foreground rug background window,1
camera,crop,includes torso lap,1
camera,crop,left forearm partial,1
camera,crop,lower body cropped,2
camera,crop,lower lap area cropped,1
camera,crop,lower legs cropped,3
camera,crop,lower legs out of frame,1
camera,crop,lower legs partially out of frame,1
camera,crop,other variants singles,4
camera,crop,partial lower legs,1
camera,crop,partial lower legs out of frame,1
camera,crop,right boot partial,1
camera,crop,right cushion area partially cropped,1
camera,crop,right shoe bottom cropped,1
camera,crop,right side,1
camera,crop,subject centered,1
camera,crop,torso,1
camera,crop,torso and hands included,1
