cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,15
atmosphere,aesthetic_qualities,dreamy,12
atmosphere,aesthetic_qualities,minimal,4
atmosphere,aesthetic_qualities,realistic,22
atmosphere,aesthetic_qualities,unknown,11
atmosphere,color_temperature,cool,1
atmosphere,color_temperature,neutral,6
atmosphere,color_temperature,unknown,5
atmosphere,color_temperature,warm,32
atmosphere,contrast_level,medium,47
atmosphere,contrast_level,unknown,10
atmosphere,dominant_palette,black,3
atmosphere,dominant_palette,blue,1
atmosphere,dominant_palette,brown,37
atmosphere,dominant_palette,mediumvioletred,4
atmosphere,dominant_palette,orange,2
atmosphere,dominant_palette,purple,2
atmosphere,dominant_palette,red,2
atmosphere,dominant_palette,unknown,11
atmosphere,aesthetic_qualities,cinematic,6
atmosphere,aesthetic_qualities,dreamy,4
atmosphere,aesthetic_qualities,minimal,1
atmosphere,aesthetic_qualities,realistic,6
atmosphere,color_temperature,neutral,3
atmosphere,color_temperature,warm,4
atmosphere,mood,calm,47
atmosphere,mood,joyful,9
atmosphere,palette,black,2
atmosphere,palette,brown,8
atmosphere,palette_color,brown,10
atmosphere,palette_colors,brown,10
atmosphere,palette_colors,lightgreen,1
atmosphere,saturation_level,neutral,23
atmosphere,saturation_level,unknown,7
atmosphere,saturation_level,vivid,13
background,object_counts_by_position,background center,41
background,object_counts_by_position,background left,23
background,object_counts_by_position,background right,44
background,object_counts_by_position,foreground center,78
background,object_counts_by_position,foreground left,52
background,object_counts_by_position,foreground right,27
background,object_counts_by_position,midground center,59
background,object_counts_by_position,midground left,50
background,object_counts_by_position,midground right,43
camera,angle,unknown,20
camera,crop,bottom cropped,1
camera,crop,feet visible,1
camera,crop,forearms near lower frame,1
camera,crop,full body above knees head,1
camera,crop,full body vertical,1
camera,crop,lower body cropped,1
camera,crop,lower body cropped near apron hem,1
camera,crop,lower body out of frame,1
camera,crop,lower leg slightly cropped,1
camera,crop,lower legs feet cropped,1
camera,crop,right edge cropped,1
camera,crop,skirt hem slightly cropped,1
camera,crop,small margin above ceiling,1
camera,crop,some negative space left,1
camera,crop,subject left center,1
camera,crop,top head near upper frame,1
camera,crop,unknown,1
camera,crop,visible floor foreground,1
camera,crop_tokens,captures person upper torso feet majority living room area,1
camera,crop_tokens,toes partially cropped,1
camera,depth_of_field,deep,13
camera,depth_of_field,moderate,12
camera,depth_of_field,shallow,36
camera,depth_of_field,unknown,4
camera,focal_length,normal,10
camera,focal_length,telephoto,4
camera,focal_length,unknown,18
camera,focal_length,wide,1
camera,framing,close up,1
camera,framing,establishing,6
camera,framing,establishing shot,1
camera,framing,full body,27
camera,framing,headshot,1
camera,framing,medium,21
camera,framing,wide,15
camera,perspective,eye level,48
camera,perspective,high angle,1
camera,perspective,low angle,1
camera,perspective,unknown,3
environment,aisle_width,unknown,2
environment,floor_color,beige,3
environment,floor_color,brown,6
environment,floor_color,gray,2
environment,floor_color,lightblue,1
environment,floor_color,mediumpurple,1
environment,floor_color,pink,2
environment,floor_material,beach brick or brick,1
environment,floor_material,brick,1
environment,floor_material,clay brick,2
environment,floor_material,compacted soil,1
environment,floor_material,concrete,1
environment,floor_material,concrete or asphalt,1
environment,floor_material,dirt,1
environment,floor_material,grass,9
environment,floor_material,gravel,1
environment,floor_material,paved pathway,1
environment,floor_material,stone,3
environment,floor_texture,fibrous,1
environment,floor_texture,low pile,3
environment,floor_texture,plush,1
environment,floor_texture,polished,1
environment,floor_texture,smooth,6
environment,floor_texture,soft,2
environment,floor_texture,subtle grain,1
environment,floor_texture,textured,1
environment,floor_texture,unknown,1
environment,floor_texture,visible wood grain,1
environment,floor_texture,wood grain,1
environment,floor_texture,woven,1
environment,indoor_outdoor,unknown,50
environment,location_type,bedroom,2
environment,location_type,formal park,1
environment,location_type,kitchen,3
environment,location_type,living room,18
environment,location_type,park,9
environment,location_type,park pavilion,1
environment,location_type,public garden,1
environment,location_type,public park,5
environment,location_type,residential kitchen,3
environment,location_type,residential living room,2
environment,location_type,unknown,2
environment,location_type,urban park,3
environment,openness,compact,1
environment,openness,enclosed,1
environment,openness,moderate,2
environment,openness,moderately open,1
environment,openness,open,18
