cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,16
atmosphere,aesthetic_qualities,dreamy,1
atmosphere,aesthetic_qualities,minimal,4
atmosphere,aesthetic_qualities,realistic,43
atmosphere,aesthetic_qualities,unknown,7
atmosphere,color,black,9
atmosphere,color,brown,5
atmosphere,color,cyan,1
atmosphere,color,mediumblue,3
atmosphere,color,mediumvioletred,1
atmosphere,color,red,1
atmosphere,color_temperature,cool,24
atmosphere,color_temperature,neutral,8
atmosphere,color_temperature,warm,1
atmosphere,contrast_level,high,6
atmosphere,contrast_level,medium,44
atmosphere,contrast_level,unknown,5
atmosphere,dominant_palette,black,24
atmosphere,dominant_palette,blue,4
atmosphere,dominant_palette,brown,7
atmosphere,dominant_palette,cyan,2
atmosphere,dominant_palette,gray,1
atmosphere,dominant_palette,mediumblue,9
atmosphere,dominant_palette,orangered,1
atmosphere,dominant_palette,red,2
atmosphere,dominant_palette,unknown,20
atmosphere,mood,calm,45
atmosphere,mood,minimalistic,6
atmosphere,mood,unknown,1
atmosphere,palette_detail,black,5
atmosphere,palette_detail,brown,2
atmosphere,palette_detail,cyan,1
atmosphere,palette_detail,mediumblue,2
atmosphere,saturation_level,neutral,35
atmosphere,saturation_level,unknown,5
atmosphere,saturation_level,vivid,13
atmosphere,temperature,cool,9
atmosphere,temperature,neutral,5
atmosphere,temperature,unknown,4
atmosphere,temperature,warm,2
background,object_counts_background_center,total objects,9
background,object_counts_background_left,total objects,3
background,object_counts_background_right,total objects,2
background,object_counts_by_position,background center,24
background,object_counts_by_position,background left,10
background,object_counts_by_position,background right,15
background,object_counts_by_position,foreground center,32
background,object_counts_by_position,foreground left,23
background,object_counts_by_position,foreground right,17
background,object_counts_by_position,midground center,24
background,object_counts_by_position,midground left,21
background,object_counts_by_position,midground right,21
background,object_counts_by_position,unknown,1
background,object_counts_foreground_center,total objects,12
background,object_counts_foreground_left,total objects,9
background,object_counts_foreground_right,total objects,4
background,object_counts_midground_center,total objects,10
background,object_counts_midground_left,total objects,4
background,object_counts_midground_right,total objects,7
background,object_counts_summary,background center,9
background,object_counts_summary,background left,3
background,object_counts_summary,background right,2
background,object_counts_summary,foreground center,12
background,object_counts_summary,foreground left,9
background,object_counts_summary,foreground right,4
background,object_counts_summary,midground center,10
background,object_counts_summary,midground left,4
background,object_counts_summary,midground right,7
background,object_totals_by_position,background center,9
background,object_totals_by_position,background left,0
background,object_totals_by_position,background right,4
background,object_totals_by_position,foreground center,10
background,object_totals_by_position,foreground left,5
background,object_totals_by_position,foreground right,1
background,object_totals_by_position,midground center,8
background,object_totals_by_position,midground left,7
background,object_totals_by_position,midground right,9
background,object_totals_by_position,unknown,1
background,position,background center,10
background,position,background left,9
background,position,background right,11
background,position,foreground center,10
background,position,foreground left,10
background,position,foreground right,9
background,position,midground center,4
background,position,midground left,9
background,position,midground right,7
camera,angle,unknown,20
camera,crop,full upper body with cart visible,1
camera,crop,head to toe,1
camera,crop,lower legs cropped,1
camera,crop,lower legs partially cropped,1
camera,crop,mid thigh,1
camera,crop,peripheral shelving cropped left right,1
camera,crop,slight lower right caster,1
camera,depth_of_field,deep,24
camera,depth_of_field,moderate,5
camera,depth_of_field,moderate dof,2
camera,depth_of_field,shallow,26
camera,depth_of_field,shallow dof,8
camera,depth_of_field,unknown,4
camera,focal_length,normal,8
camera,focal_length,telephoto,5
camera,focal_length,unknown,6
camera,focal_length,wide,4
camera,framing,establishing,5
camera,framing,establishing shot,7
camera,framing,full body,29
camera,framing,medium,21
camera,framing,unknown,1
camera,framing,wide,24
camera,perspective,eye level,52
camera,perspective,low angle,4
camera,perspective,third person,2
camera,perspective,unknown,5
environment,aisle_width,medium,2
environment,aisle_width,moderately wide,1
environment,aisle_width,open very wide,1
environment,aisle_width,unknown,22
environment,aisle_width,wide,1
environment,ceiling_color,black,4
environment,ceiling_color,gray,5
environment,ceiling_color,palegreen,1
environment,ceiling_color,white,21
environment,ceiling_material,acoustic,1
environment,ceiling_material,acoustic grid panels,1
environment,ceiling_material,acoustic panels,2
environment,ceiling_material,acoustic tile,2
environment,ceiling_material,composite,1
environment,ceiling_material,drop tiles,1
environment,ceiling_material,metal,1
environment,ceiling_material,metal grid,1
environment,ceiling_material,panel,1
environment,ceiling_material,plastic diffusers,1
environment,ceiling_material,suspended,1
environment,ceiling_texture,grid,2
environment,ceiling_texture,grid patterned,1
environment,ceiling_texture,matte,1
environment,ceiling_texture,ribbed,1
environment,ceiling_texture,smooth,3
environment,ceiling_texture,textured,2
environment,floor_color,beige,13
environment,floor_color,chocolate,1
environment,floor_color,gray,14
environment,floor_color,light gray,1
environment,floor_color,white,5
environment,floor_material,ceramic,5
environment,floor_material,ceramic look tile,1
environment,floor_material,ceramic tile,4
environment,floor_material,ceramic tile merged tokens,10
environment,floor_material,glazed tile,1
environment,floor_material,vinyl,1
environment,floor_texture,glazed,2
environment,floor_texture,glossy,2
environment,floor_texture,grout lines,1
environment,floor_texture,polished,2
environment,floor_texture,slightly reflective,1
environment,floor_texture,smooth,17
environment,floor_texture,tiled,1
environment,floor_texture,unknown,1
environment,indoor_outdoor,unknown,50
environment,location_type,commercial cleaning workspace,1
environment,location_type,commercial kitchen,3
environment,location_type,corridor,9
environment,location_type,grocery aisle,1
environment,location_type,grocery store,2
environment,location_type,grocery store aisle,1
environment,location_type,hallway,1
environment,location_type,retail grocery aisle,1
environment,location_type,supermarket,10
environment,location_type,supermarket aisle,1
environment,location_type,supermarket produce aisle,2
environment,location_type,unknown,16
environment,location_type,utility corridor,1
environment,location_type,utility room,1
environment,openness,moderate,2
environment,openness,open,4
environment,openness,unknown,13
environment,spatial_depth,deep,5
environment,spatial_depth,moderate,4
environment,spatial_depth,unknown,1
environment,spatial_layout_aisle_width,unknown,3
environment,spatial_layout_aisle_width,wide,2
environment,spatial_layout_depth,deep,13
environment,spatial_layout_depth,elongated,1
environment,spatial_layout_depth,long,2
environment,spatial_layout_depth,medium,3
environment,spatial_layout_depth,medium deep,1
environment,spatial_layout_depth,medium long,1
environment,spatial_layout_depth,moderate,10
environment,spatial_layout_depth,open,1
environment,spatial_layout_depth,shallow,1
environment,spatial_layout_depth,unknown,1
environment,spatial_layout_openness,enclosed,3
environment,spatial_layout_openness,moderate,1
environment,spatial_layout_openness,open,12
environment,spatial_layout_openness,unknown,8
environment,surfaces_ceiling_color,white,9
environment,surfaces_ceiling_condition,intact,2
environment,surfaces_ceiling_finish,matte,9
environment,surfaces_ceiling_material,acoustic tiles grouped variants,7
environment,surfaces_color,beige,8
environment,surfaces_color,gray,6
environment,surfaces_color,lightblue,1
environment,surfaces_color,saddlebrown,1
environment,surfaces_color,white,18
environment,surfaces_floor_color,gray,4
environment,surfaces_floor_condition,clean,3
environment,surfaces_floor_finish,high gloss,5
environment,surfaces_floor_material,tile,3
environment,surfaces_floor_texture,smooth,7
environment,surfaces_material,acoustic tile,10
environment,surfaces_material,ceramic tile,2
environment,surfaces_material,cinderblock,2
environment,surfaces_material,linoleum,3
environment,surfaces_material,metal,1
environment,surfaces_material,paint,4
environment,surfaces_material,painted drywall,2
environment,surfaces_material,painted plaster,1
environment,surfaces_material,plaster,1
environment,surfaces_material,plastic diffuser,1
environment,surfaces_material,polished stone,1
environment,surfaces_material,terrazzo,2
environment,surfaces_material,vinyl,4
environment,surfaces_material,vinyl or linoleum,1
environment,surfaces_material,vinyl or tile,1
environment,surfaces_material,vinyl tile,1
environment,surfaces_material,wood paneling lower section,1
environment,surfaces_walls_color,beige,4
environment,surfaces_walls_color,gray,3
environment,surfaces_walls_color,white,5
environment,surfaces_walls_condition,clean,9
environment,surfaces_walls_material,ceramic tile,3
environment,surfaces_walls_material,glass,1
environment,surfaces_walls_material,paint,4
environment,surfaces_walls_material,painted drywall,3
environment,surfaces_walls_material,painted surface variant,2
environment,surfaces_walls_material,plaster,2
environment,surfaces_walls_material,wood,1
environment,surfaces_walls_texture,smooth,12
environment,time_of_day_hint,afternoon,1
environment,time_of_day_hint,noon,1
environment,time_of_day_hint,unknown,19
environment,walls_color,beige,2
environment,walls_color,black,5
environment,walls_color,black feature,1
environment,walls_color,gray,6
environment,walls_color,green,2
environment,walls_color,lightblue,1
environment,walls_color,mediumseagreen,1
environment,walls_color,mediumvioletred graphic,1
environment,walls_color,silver,2
environment,walls_color,white,11
environment,walls_condition,clean,2
environment,walls_condition,good,1
environment,walls_condition,maintained,1
environment,walls_condition,partially illegible text,1
environment,walls_condition,tidy,1
environment,walls_finish,matte,3
environment,walls_finish,painted,2
environment,walls_material,glossy plastic,1
environment,walls_material,metal,1
environment,walls_material,paint,3
environment,walls_material,painted metal or panel,1
environment,walls_material,painted metal paneling,1
environment,walls_material,painted metal shelving,1
environment,walls_material,panel,1
environment,walls_material,paper covered wall graphic,1
environment,walls_material,plastic shelf edge,1
environment,walls_material,printed matte,1
environment,walls_material,shelving or fitted panels,1
environment,walls_material,wood,1
environment,walls_texture,matte,3
environment,walls_texture,reflective,1
environment,walls_texture,smooth,5
environment,weather,unknown,20
lighting,artifacts,bokeh,1
lighting,artifacts,bokeh around ceiling lights,1
lighting,artifacts,diffuse ceiling reflections,1
lighting,artifacts,each artifact token,0
lighting,artifacts,floor reflections,2
lighting,artifacts,glossy reflections fixtures objects,1
lighting,artifacts,mild lens blur periphery,1
lighting,artifacts,mild reflections glossy floor,1
lighting,artifacts,mild reflections on glossy floor,1
lighting,artifacts,mild specular highlights tiles,1
lighting,artifacts,mild specular packages,1
lighting,artifacts,mild vignette,1
lighting,artifacts,minimal lens flare,1
lighting,artifacts,minor glare glass fronted refrigerated bays,1
lighting,artifacts,minor reflective highlights glass,1
lighting,artifacts,minor specular highlights metal cart glossy produce,1
