cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,7
atmosphere,aesthetic_qualities,dreamy,3
atmosphere,aesthetic_qualities,realistic,5
atmosphere,color,black,2
atmosphere,color,brown,8
atmosphere,color_temperature,warm,9
atmosphere,contrast_level,high,1
atmosphere,contrast_level,medium,8
atmosphere,dominant_palette,black,4
atmosphere,dominant_palette,brown,34
atmosphere,dominant_palette,mediumblue,2
atmosphere,dominant_palette,unknown,10
atmosphere,lighting_profile_aesthetic_qualities,cinematic,13
atmosphere,lighting_profile_aesthetic_qualities,dreamy,3
atmosphere,lighting_profile_aesthetic_qualities,minimal,2
atmosphere,lighting_profile_aesthetic_qualities,realistic,17
atmosphere,lighting_profile_color_temperature,cool,14
atmosphere,lighting_profile_color_temperature,neutral,5
atmosphere,lighting_profile_color_temperature,warm,2
atmosphere,lighting_profile_contrast_level,medium,21
atmosphere,lighting_profile_saturation_level,neutral,17
atmosphere,lighting_profile_saturation_level,vivid,4
atmosphere,mood,calm,36
atmosphere,mood,joyful,2
atmosphere,mood,romantic,4
atmosphere,mood_distribution,calm,10
atmosphere,mood_distribution,joyful,2
atmosphere,saturation_level,neutral,6
atmosphere,saturation_level,vivid,3
background,object_counts_by_position,background center,30
background,object_counts_by_position,background left,17
background,object_counts_by_position,background right,10
background,object_counts_by_position,foreground center,60
background,object_counts_by_position,foreground left,36
background,object_counts_by_position,foreground right,29
background,object_counts_by_position,midground center,33
background,object_counts_by_position,midground left,19
background,object_counts_by_position,midground right,27
background,object_counts_by_position,unknown,2
background,position_totals,background center,9
background,position_totals,background left,4
background,position_totals,background right,5
background,position_totals,foreground center,10
background,position_totals,foreground left,9
background,position_totals,foreground right,10
background,position_totals,midground center,7
background,position_totals,midground left,5
background,position_totals,midground right,5
camera,crop,bottom cropped,1
camera,crop,bottom edge cropped,1
camera,crop,bottom feet,1
camera,crop,cart base cropped,1
camera,crop,center left subject,1
camera,crop,centered,1
camera,crop,face centered,1
camera,crop,instrument right,1
camera,crop,lower body cropped,1
camera,crop,lower body out frame,1
camera,crop,lower legs footwear cropped by bottom edge,1
camera,crop,lower right leg partially cropped by bottom edge,1
camera,crop,near portrait,1
camera,crop,peripheral elements cropped,1
camera,crop,right edge partial,1
camera,crop,right shoe partial,1
camera,crop,right side cropped headstock,1
camera,crop,right side produce bin partially cropped,1
camera,crop,slightly right center,1
camera,crop,square,1
camera,crop,tight,1
camera,depth_of_field,moderate,8
camera,depth_of_field,shallow,52
camera,focal_length,normal,12
camera,focal_length,telephoto,12
camera,focal_length,wide,4
camera,framing,close up,8
camera,framing,establishing,1
camera,framing,establishing shot,1
camera,framing,full body,4
camera,framing,headshot,4
camera,framing,medium,44
camera,framing,wide,10
camera,perspective,eye level,44
environment,aisle_width,moderate,1
environment,aisle_width,unknown,6
environment,aisle_width,wide,2
environment,ceiling_color,black,2
environment,ceiling_color,darkblue,1
environment,ceiling_color,gray,1
environment,ceiling_color,mediumpurple,1
environment,ceiling_color,white,8
environment,ceiling_condition,clean,2
environment,ceiling_condition,good,3
environment,ceiling_condition,intact,1
environment,ceiling_condition,maintained,1
environment,ceiling_condition,minor discoloration,1
environment,ceiling_condition,pristine,1
environment,ceiling_condition,slightly discolored,1
environment,ceiling_condition,well maintained,1
environment,ceiling_finish,matte,8
environment,ceiling_finish,reflective,1
environment,ceiling_material,acoustic panel,1
environment,ceiling_material,acoustic tile,1
environment,ceiling_material,acoustic tiles,1
environment,ceiling_material,diffuser,1
environment,ceiling_material,diffuser panels,1
environment,ceiling_material,metal,4
environment,ceiling_material,painted surface,1
environment,ceiling_material,plastic,1
environment,ceiling_material,suspended acoustic panels,1
environment,ceiling_material,suspended tiles,1
environment,ceiling_texture,grid pattern,1
environment,ceiling_texture,matte,1
environment,ceiling_texture,paneled,1
environment,ceiling_texture,ribbed,1
environment,ceiling_texture,smooth,7
environment,floor_color,beige,1
environment,floor_color,black,1
environment,floor_color,gray,2
environment,floor_color,lightblue,3
environment,floor_color,mediumpurple,1
environment,floor_color,white,4
environment,floor_condition,clean,5
environment,floor_condition,generally clean,2
environment,floor_condition,intact,1
environment,floor_condition,well maintained,1
environment,floor_finish,glazed,1
environment,floor_finish,glossy,6
environment,floor_finish,matte,1
environment,floor_finish,slight sheen,1
environment,floor_finish,slightly reflective,1
environment,floor_material,ceramic,2
environment,floor_material,ceramic tile,5
environment,floor_material,glazed ceramic,1
environment,floor_material,tile,1
environment,floor_texture,glazed,1
environment,floor_texture,glossy,1
environment,floor_texture,reflective,1
environment,floor_texture,smooth,9
environment,indoor_outdoor,unknown,40
environment,location_type,courtyard,2
environment,location_type,covered deck,2
environment,location_type,grocery aisle,2
environment,location_type,grocery store,6
environment,location_type,grocery store aisle,1
environment,location_type,grocery store produce aisle,1
environment,location_type,living space,2
environment,location_type,outdoor,2
environment,location_type,outdoor performance,2
environment,location_type,performance space,4
environment,location_type,residential interior music practice,2
environment,location_type,residential room,2
environment,location_type,supermarket,11
environment,location_type,supermarket aisle,4
environment,location_type,supermarket produce aisle,4
environment,location_type,supermarket produce section,1
environment,openness,enclosed,3
environment,openness,open,1
environment,openness,unknown,2
environment,spatial_layout_depth,deep,2
environment,spatial_layout_depth,medium,3
environment,spatial_layout_depth,moderate,12
environment,spatial_layout_depth,shallow,9
environment,spatial_layout_depth,shallow moderate,1
environment,spatial_layout_openness,confined,1
environment,spatial_layout_openness,enclosed,1
environment,spatial_layout_openness,moderate,1
environment,spatial_layout_openness,moderately open,1
environment,spatial_layout_openness,open,5
environment,spatial_layout_openness,unknown,4
environment,time_of_day_hint,afternoon,8
environment,time_of_day_hint,evening,4
environment,walls_color,black,3
environment,walls_color,darkgray,1
environment,walls_color,gray,1
environment,walls_color,olivedrab,1
environment,walls_color,orange,1
environment,walls_color,white,1
environment,walls_color,yellow,1
environment,walls_condition,clean,2
environment,walls_condition,good,2
environment,walls_condition,orderly,1
environment,walls_condition,partially occluded not clearly visible,1
environment,walls_finish,glossy,1
environment,walls_finish,matte,3
environment,walls_finish,slightly worn,1
environment,walls_material,cardboard packaging,1
environment,walls_material,paint,2
environment,walls_material,painted metal,1
environment,walls_material,painted wall,1
environment,walls_material,unknown,1
environment,walls_texture,glossy,1
environment,walls_texture,matte,1
environment,walls_texture,smooth,4
environment,weather,clear,1
environment,weather,sunny,1
lighting,artifacts,background bokeh blur,1
lighting,artifacts,bokeh,4
lighting,artifacts,bokeh background blur,1
lighting,artifacts,bokeh highlights,1
lighting,artifacts,circular bokeh highlights,1
lighting,artifacts,filmic grain,1
lighting,artifacts,glare sunglasses,1
lighting,artifacts,highlight bloom,1
lighting,artifacts,lens bloom,1
lighting,artifacts,lens glare,1
lighting,artifacts,mild glow,1
lighting,artifacts,minor specular highlights guitar bottles,1
lighting,artifacts,motion blur,1
lighting,artifacts,no chromatic aberration,1
lighting,artifacts,no lens flare,3
lighting,artifacts,reflections tile floor,1
lighting,artifacts,specular highlights,3
lighting,artifacts,specular highlights floor plastic,1
lighting,artifacts,specular highlights metal cart produce,1
lighting,artifacts,specular highlights microphone grille,1
lighting,artifacts,specular reflection guitar,2
lighting,artifacts,specular reflections,1
lighting,artifacts,specular reflections floor,1
lighting,artifacts,specular reflections floor guitar,1
lighting,artifacts,specular reflections floor metal trim,1
lighting,artifacts,specular reflections guitar plastic packaging,1
lighting,artifacts,specular reflections guitar refrigerated glass,1
lighting,artifacts,specular reflections guitar tuning pegs,1
lighting,artifacts,volumetric rays,1
lighting,color_temperature,cool,20
lighting,color_temperature,neutral,8
lighting,color_temperature,warm,22
lighting,contrast_level,high,2
lighting,contrast_level,medium,48
lighting,directionality,backlight,6
lighting,directionality,sidelight,7
lighting,directionality,top light,11
lighting,directionality,toplight,10
lighting,directionality,unknown,16
lighting,hardness,medium,4
lighting,hardness,soft,16
lighting,hardness,soft light,24
lighting,saturation_level,neutral,36
lighting,saturation_level,vivid,12
lighting,shadows,casting,1
lighting,shadows,soft,40
lighting,sources,artificial,10
lighting,sources_count,four or more,22
lighting,sources_count,four or more light,9
lighting,sources_count,one source,8
lighting,sources_count,two light,1
lighting,sources_type,artificial,10
lighting,sources_type,artificial light,10
lighting,sources_type,artificial source,4
lighting,sources_type,unknown,10
objects,color,beige,2
objects,color,black,7
objects,color,blue,2
objects,color,brown,7
objects,color,crimson,6
objects,color,darkblue,3
objects,color,gray,9
objects,color,green,14
objects,color,lightblue,1
objects,color,mediumblue,4
objects,color,mediumvioletred,1
objects,color,orange,8
objects,color,pink,2
objects,color,purple,1
objects,color,red,10
objects,color,silver,6
objects,color,white,9
objects,color,yellow,7
objects,colors,black,16
objects,colors,brown,17
objects,colors,crimson,1
objects,colors,darkblue,3
objects,colors,darkgreen,1
objects,colors,darkred,1
objects,colors,darkslategrey,1
objects,colors,glass like,6
objects,colors,gray,3
objects,colors,green,2
objects,colors,honeydew,1
objects,colors,ivory,1
objects,colors,lightblue,2
objects,colors,lightgoldenrodyellow,1
objects,colors,mediumseagreen,1
objects,colors,mediumseagreen dup,0
objects,colors,olive,1
objects,colors,orange,1
objects,colors,palevioletred,1
objects,colors,seashell,1
objects,colors,silver,8
objects,colors,violet,1
