cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,13
atmosphere,aesthetic_qualities,dreamy,2
atmosphere,aesthetic_qualities,gritty,1
atmosphere,aesthetic_qualities,realistic,22
atmosphere,aesthetic_qualities,unknown,12
atmosphere,color,black,8
atmosphere,color,brown,1
atmosphere,color,red,1
atmosphere,color_temperature,cool,17
atmosphere,color_temperature,neutral,12
atmosphere,color_temperature,unknown,10
atmosphere,color_temperature,warm,6
atmosphere,contrast_level,high,3
atmosphere,contrast_level,low,1
atmosphere,contrast_level,medium,31
atmosphere,contrast_level,unknown,10
atmosphere,dominant_palette,black,23
atmosphere,dominant_palette,blue,0
atmosphere,dominant_palette,brown,19
atmosphere,dominant_palette,cyan,2
atmosphere,dominant_palette,mediumblue,1
atmosphere,dominant_palette,mediumvioletred,3
atmosphere,dominant_palette,red,3
atmosphere,dominant_palette,unknown,19
atmosphere,dominant_palette,violet,0
atmosphere,mood,calm,23
atmosphere,mood,melancholic,1
atmosphere,mood,tense,9
atmosphere,mood,unknown,4
atmosphere,saturation_level,neutral,24
atmosphere,saturation_level,unknown,9
atmosphere,saturation_level,vivid,10
background,object_counts_by_position,background center,23
background,object_counts_by_position,background left,17
background,object_counts_by_position,background right,18
background,object_counts_by_position,foreground center,41
background,object_counts_by_position,foreground left,25
background,object_counts_by_position,foreground right,22
background,object_counts_by_position,midground center,32
background,object_counts_by_position,midground left,23
background,object_counts_by_position,midground right,15
background,object_counts_by_position,unknown,1
camera,angle,unknown,20
camera,crop,centered midground,1
camera,crop,cropped image right,1
camera,crop,cropped mid thigh,1
camera,crop,lower body included,1
camera,crop,lower body partial,1
camera,crop,lower legs cropped,3
camera,crop,lower legs partially cropped,1
camera,crop,tight moderate foreground right police cruiser officers,1
camera,crop,unknown,1
camera,crop_keys_present,unknown,9
camera,depth_of_field,deep,11
camera,depth_of_field,moderate,19
camera,depth_of_field,shallow,21
camera,depth_of_field,unknown,3
camera,focal_length,normal,6
camera,focal_length,telephoto,11
camera,focal_length,unknown,13
camera,framing,close up,2
camera,framing,establishing,2
camera,framing,establishing shot,2
camera,framing,full body,16
camera,framing,headshot,6
camera,framing,medium,38
camera,framing,unknown,2
camera,framing,wide,10
camera,perspective,eye level,32
camera,perspective,third person,1
camera,perspective,unknown,8
environment,aisle_width,medium,1
environment,aisle_width,unknown,14
environment,aisle_width,wide,2
environment,ceiling,unknown,3
environment,ceiling_color,black,5
environment,ceiling_color,gray,3
environment,ceiling_color,mediumvioletred,1
environment,ceiling_color,white,7
environment,ceiling_condition,clean,4
environment,ceiling_condition,in good,2
environment,ceiling_material,acoustic panel variants,3
environment,ceiling_material,metal,4
environment,ceiling_material,plastic diffuser,2
environment,ceiling_material,suspended panels,2
environment,color,beige,10
environment,color,black,8
environment,color,black floor,2
environment,color,blue,1
environment,color,blue palette,0
environment,color,brown,8
environment,color,darkblue,3
environment,color,darkblue floor,1
environment,color,deepskyblue,1
environment,color,firebrick,2
environment,color,gray,9
environment,color,gray family,0
environment,color,gray floor,12
environment,color,lightblue,2
environment,color,lightgreen,1
environment,color,mediumblue,1
environment,color,mediumpurple,1
environment,color,other,0
environment,color,silver,1
environment,color,tan,1
environment,color,white,9
environment,color,white floor,9
environment,condition,abrasion,1
environment,condition,clean,3
environment,condition,fair,1
environment,condition,good,1
environment,condition,intact,3
environment,condition,localized wear,1
environment,condition,maintained,3
environment,condition,mild scuffing,1
environment,condition,minor scuffing,1
environment,condition,minor surface staining,1
environment,condition,minor surface wear,1
environment,condition,mostly intact,1
environment,condition,normal wear,1
environment,condition,other minor,0
environment,condition,patched,1
environment,condition,repaired,1
environment,condition,scuffed,1
environment,condition,slightly weathered,6
environment,condition,small cracks,1
environment,condition,surface dirt,1
environment,condition,unknown,3
environment,condition,visible wear,1
environment,condition,weathered,5
environment,condition,well maintained,1
environment,condition,well maintained or clean,0
environment,condition,worn,8
environment,condition,worn or slightly weathered,0
environment,finish,cast,1
environment,finish,glazed,2
environment,finish,glossy,2
environment,finish,matte,14
environment,finish,painted,2
environment,finish,reflective,4
environment,finish,unknown,4
environment,finish,weathered,4
environment,floor_color,beige,5
environment,floor_color,black,3
environment,floor_color,darkblue,1
environment,floor_color,darkslategrey,1
environment,floor_color,gray,11
environment,floor_color,light blue,2
