"","overall_rank","schema_cohort","dimension","BI_CF","BI_CA_U","delta_CA_U_minus_CF"
"1",1,"Scene","mood",0.566506956243736,0.742172719437279,0.175665763193542
"2",2,"Scene","weather",0.543359651591082,0.700106779878421,0.156747128287339
"3",3,"People","facial_hair_style",0.334590313817525,0.473236981239935,0.13864666742241
"4",4,"People","accessories",0.197928599945947,0.32842009604276,0.130491496096813
"5",5,"Scene","aesthetic_qualities",0.605726789043166,0.735440625789258,0.129713836746091
"6",6,"People","pose",0.496148115352279,0.620799905851533,0.124651790499254
"7",7,"Camera","framing",0.438326938167748,0.557945052496379,0.119618114328631
"8",8,"People","eyewear_present",0.0792655379575704,0.177018526348249,0.0977529883906782
"9",9,"People","gender_presentation",0.195818622265348,0.288744627555622,0.0929260052902744
"10",10,"People","hair_style",0.530086295300731,0.618900311044105,0.0888140157433745
"11",11,"People","eyewear_type",0.740953215805124,0.808929788702409,0.067976572897285
"12",12,"Objects","items",0.251147806190432,0.308526985574444,0.0573791793840115
"13",13,"People","head_covering_type",0.532801720731513,0.589657775262944,0.056856054531431
"14",14,"People","skin_tone",0.446090555206704,0.480262555388001,0.034172000181297
"15",15,"People","body_type",0.622263202131323,0.654259844966233,0.0319966428349097
"16",16,"People","facial_hair_present",0.0202259109899934,0.0385474189250923,0.0183215079350989
"17",17,"People","activities",0.318559645640932,0.333476870636686,0.0149172249957542
"18",18,"Scene","dominant_colors",0.205262271168642,0.218096483552856,0.0128342123842148
"19",19,"People","expression",0.28352928687603,0.294414619524811,0.0108853326487811
"20",20,"Camera","perspective",0.981444103711878,0.992288453073532,0.0108443493616532
"21",21,"People","age_range",0.982131433492183,0.985872701554985,0.00374126806280126
"22",22,"People","clothing_garment",0.430395846923587,0.424519873530355,-0.00587597339323226
"23",23,"People","head_covering_present",0.128921431706166,0.12039778259199,-0.00852364911417643
"24",24,"People","tattoo_present",0.912171870732125,0.902377105103064,-0.00979476562906073
"25",25,"Scene","color_temperature",0.224582936936214,0.203158707634637,-0.0214242293015766
"26",26,"People","hair_present",0.947577766676266,0.925573104837298,-0.022004661838968
"27",27,"People","facial_hair_color",0.524455335472383,0.499877842777744,-0.0245774926946387
"28",28,"People","hair_color",0.442085408123936,0.385513884090966,-0.0565715240329693
"29",29,"Camera","depth_of_field",0.661838764733037,0.508139738620894,-0.153699026112143
