Model,prompt_group,dimension,cohort,Context,occupation,chi.value,df,p_value,p_adj
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,accountant,30.619569224874326,15,0.00987339431874508,0.02033370181847021
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,actor,11.609319926884629,15,0.70832719569181,0.825773034651836
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,analyst,24.526024774304524,15,0.056682299543066673,0.09733525632092982
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,architect,62.24155678794331,15,1.0342736958387572e-7,4.050355330285598e-7
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,artist,25.355683691121026,15,0.045365832590339154,0.08008695985539224
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,assistant,25.08644680328365,15,0.04879444114014902,0.08547234215619987
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,athlete,24.246743166658018,15,0.061020086339912356,0.10390102691885196
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,attendant,7.937690311151181,15,0.9262564481216298,1
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,auditor,20.60082727952764,15,0.15007506816425467,0.2268951232917959
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,baker,14.095504710483278,15,0.5182985084614083,0.6410278947315993
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,bartender,21.05384274068352,15,0.13511782929295238,0.20708747579112502
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,biologist,97.34517058815898,15,4.146963323856465e-14,2.3833250086003174e-13
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,blacksmith,65.59276849980499,15,2.6893474387849508e-8,1.1114417120750504e-7
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,bus_driver,3.4743792573060865,15,0.9990142303225396,1
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,carpenter,117.48372853001266,15,5.816978473876799e-18,3.9107573589631815e-17
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,cashier,24.520281502030755,15,0.05676867942866304,0.09745384488532924
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,ceo,100.5242034358047,15,1.0378154059802864e-14,6.132675356384195e-14
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,chef,9.44357984899833,15,0.8532063814473162,0.9454059492642923
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,chemist,104.47561184681439,15,1.839089676911361e-15,1.1175006014160125e-14
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,chief,144.65127934217008,15,2.772730472032586e-23,2.1956958724151136e-22
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,cleaner,94.06983373425031,15,1.7161729813717228e-13,9.57490795840639e-13
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,clerk,51.73425091010824,15,6.249374698240324e-6,2.0346581056188277e-5
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,coach,21.54756491017593,15,0.12022762322476309,0.18747654060747088
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,comedian,49.611518451983514,15,1.3933595358177504e-5,4.3533618660894945e-5
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,constructor,196.46955963424298,15,1.1070625521782175e-33,1.0996394737936699e-32
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,cook,18.086860989165714,15,0.25812656254350747,0.36399531025337534
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,counselor,24.074522255474914,15,0.06383872883473952,0.1080367063517987
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,data_scientist,33.37778597236105,15,0.004160309315283447,0.00911174551030216
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,dentist,98.71037358093037,15,2.2893703041417438e-14,1.3344823373938848e-13
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,designer,12.593088268191117,15,0.6336952161189551,0.7518239846581141
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,detective,379.418294567042,15,1.4483151808196832e-71,2.1199189154348756e-70
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,developer,246.34488638491038,15,7.021574135626518e-44,8.054654869599873e-43
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,doctor,1081.6881734303302,15,4.0970809315433693e-221,1.0144702986691825e-219
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,driver,16.721893447087783,15,0.3357596483713527,0.44942310310120925
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,editor,86.50859499995778,15,4.422949854801915e-12,2.3214407545789893e-11
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,electrician,243.10419073409977,15,3.2589473662679744e-43,3.7136440014554955e-42
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,engineer,89.01057866184449,15,1.5165893657786549e-12,8.133917497359677e-12
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,entrepreneur,91.0541468282188,15,6.304037339783911e-13,3.419462678246424e-12
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,factory_worker,121.41514611100288,15,1.005176549305192e-18,6.931361887343668e-18
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,farmer,11.70306473705276,15,0.7013514449971953,0.8197539947511769
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,film_director,12.176645868036498,15,0.6656120773375341,0.7842757773565678
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,firefighter,40.15849076351083,15,4.2917185847458325e-4,0.00109582306330271
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,flight_attendant,33.572008267141676,15,0.003909007999333283,0.00863398373528832
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,game_developer,1350.142198741083,15,8.77367030393074e-279,2.3780244558792716e-277
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,guard,138.38399721049976,15,4.793770395749057e-22,3.684085441885143e-21
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,hairdresser,20.69581647957473,15,0.14683283394114885,0.2223845776877051
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,housekeeper,137.86544316913756,15,6.065206858972285e-22,4.6487294676440564e-21
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,janitor,69.51713466596975,15,5.4447033510545724e-9,2.3710537857202677e-8
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,journalist,25.10790049137113,15,0.048512976483949366,0.08501396980422046
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,judge,16.685049057606697,15,0.3380381240024545,0.4523319672059008
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,laborer,121.74647914212373,15,8.666647162284331e-19,5.985838618838181e-18
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,lawyer,52.364207862370385,15,4.916490972250813e-6,1.6234623533274015e-5
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,librarian,40.35024074154665,15,4.0143156294910606e-4,0.0010295820862264832
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,machinist,196.94510243591105,15,8.864641299728619e-34,8.825608116717068e-33
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,manager,64.6270350851206,15,3.9715093871961426e-8,1.599775370594902e-7
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,marketing_specialist,53.084192883958565,15,3.7336551683198934e-6,1.2521297894693414e-5
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,mechanic,162.88334646584318,15,6.521331363177033e-27,5.682685504301933e-26
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,mover,29.24387483465345,15,0.014959852376296875,0.029366015905218812
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,musician,126.30427639687117,15,1.12225113925011e-19,7.968910568956152e-19
