Model,dimension_family,n_labels_tested,mean_pct,median_pct,cell
XL,People,110491,1.6203129666669698,0,1.6
XL,Objects,102073,0.3008631077758075,0,0.3
XL,Camera,1339,23.076923076923077,0,23.1
XL,All,213903,1.1249959093607855,0,1.1
3.5,People,102834,1.6617072174572602,0,1.7
3.5,Objects,101661,0.2989838777899096,0,0.3
3.5,Camera,1339,23.06572068707991,0,23.1
3.5,All,205834,1.1278991808933416,0,1.1
Flux,People,95755,1.8684141820270492,0,1.9
Flux,Objects,94554,0.32235547940859194,0,0.3
Flux,Camera,1339,23.054518297236744,0,23.1
Flux,All,191648,1.2536525296376688,0,1.3
Qwen,People,94835,1.9826013602572878,0,2.0
Qwen,Objects,84975,0.35751691674021774,0,0.4
Qwen,Camera,1236,24.995954692556634,0,25.0
Qwen,All,181046,1.3769704936866871,0,1.4
Total,People,403915,1.774729831771535,0,1.8
Total,Objects,383263,0.31822795312879143,0,0.3
Total,Camera,5253,23.519893394250904,0,23.5
Total,All,792431,1.2144338119028666,0,1.2
