Occupation,Label,XL_%,3.5_%,Flx_%,Qwen_%,XL_chi2,3.5_chi2,Flx_chi2,Qwen_chi2,XL_p,3.5_p,Flx_p,Qwen_p
lawyer,adult,100,100,100,100,0.49,0.55,0.39,0.07,.78,.76,.82,.97
customer_service_representative,adult,100,100,100,100,0.08,0.08,0.03,0.01,1.00,1.00,1.00,1.00
customer_service_representative,shallow,100,100,100,100,4.54,2.55,0.11,0.38,1.00,1.00,1.00,1.00
politician,adult,99,100,100,100,0.42,0.55,0.39,0.07,.81,.76,.82,.97
comedian,adult,100,100,99,100,0.49,0.55,0.3,0.07,.78,.76,.86,.97
ceo,adult,99,100,100,100,0.39,0.55,0.39,0.07,.82,.76,.82,.97
nurse,adult,100,100,99,100,0.53,0.6,0.27,0.07,.77,.74,.87,.96
paramedic,adult,100,100,99,100,0.53,0.6,0.27,0.07,.77,.74,.87,.96
flight_attendant,adult,100,99,99,100,0.49,0.47,0.33,0.07,.78,.79,.85,.97
engineer,adult,100,99,99,100,0.49,0.44,0.3,0.07,.78,.80,.86,.97
dancer,female,100,100,98,100,259.26,375.83,509.99,543.33,.00,.00,.00,.00
social_worker,adult,98,100,100,100,0.34,0.51,0.36,0.05,.84,.77,.83,.98
flight_attendant,female,100,99,99,99,259.26,368.75,519.94,533.2,.00,.00,.00,.00
comedian,male,99,100,99,99,16.76,13.05,7.2,4.19,.00,.00,.03,.12
dancer,adult,100,98,100,100,0.49,0.27,0.39,0.07,.78,.87,.82,.97
salesperson,adult,98,100,99,100,0.28,0.51,0.27,0.06,.87,.77,.87,.97
seamstress,adult,100,98,100,100,0.45,0.24,0.36,0.06,.80,.88,.83,.97
railway_conductor,male,98,98,100,100,15.94,11.65,7.74,4.54,.00,.00,.02,.10
politician,male,98,98,100,100,15.94,11.61,7.74,4.54,.00,.00,.02,.10
engineer,male,98,99,99,100,15.94,12.33,7.21,4.54,.00,.00,.03,.10
ceo,average,98,99,100,100,4.05,5.22,2.96,4.9,.13,.07,.23,.09
entrepreneur,adult,98,99,100,100,0.3,0.44,0.39,0.07,.86,.80,.82,.97
carpenter,male,100,100,97,100,17.62,13.05,5.86,4.54,.00,.00,.05,.10
manager,adult,99,98,100,100,0.35,0.34,0.36,0.06,.84,.84,.83,.97
pharmacist,adult,98,98,100,100,0.28,0.33,0.36,0.06,.87,.85,.83,.97
nurse,female,99,99,99,99,274.18,398.1,552.07,576.35,.00,.00,.00,.00
actor,adult,100,97,99,100,0.53,0.34,0.33,0.07,.77,.84,.85,.96
marketing_specialist,adult,100,99,98,99,0.34,0.35,0.15,0.03,.84,.84,.93,.98
ceo,male,98,99,98,100,15.96,12.38,6.89,4.54,.00,.00,.03,.10
engineer,average,99,98,100,98,4.85,4.78,2.96,4.12,.09,.09,.23,.13
scientist,adult,99,98,98,100,0.38,0.35,0.24,0.07,.83,.84,.89,.97
poet,adult,99,98,99,100,0.39,0.38,0.3,0.07,.82,.83,.86,.97
software_engineer,adult,99,99,100,99,0.31,0.4,0.42,0.05,.86,.82,.81,.98
physician,adult,98,100,98,100,0.3,0.55,0.18,0.07,.86,.76,.92,.97
teacher,adult,97,99,100,99,0.28,0.44,0.39,0.07,.87,.80,.82,.96
carpenter,adult,98,100,97,100,0.31,0.55,0.22,0.07,.86,.76,.89,.97
